,college,State,City,Is Open Admission,Has Data,Average GPA,GPA Standard Deviation,Acceptance Rate,SAT Reading 25th,SAT Math 25th,SAT Composite 25th,SAT Reading 75th,SAT Math 75th,SAT Composite 75th,Average SAT Score,1st Rank SAT,2nd Rank SAT,3rd Rank SAT,4th Rank SAT,5th Rank SAT,ACT Reading SAT25th,ACT Math 25th,ACT Composite 25th,ACT Reading 75th,ACT Math 75th,ACT Composite 75th,Average ACT Score,1st Rank ACT,2nd Rank ACT,3rd Rank ACT,4th Rank ACT,5th Rank ACT,Average Class Rank,Class Rank Standard Deviation,1st Rank SAT Level,2nd Rank SAT Level,3rd Rank SAT Level,4th Rank SAT Level,1st Rank ACT Level,2nd Rank ACT Level,3rd Rank ACT Level,4th Rank ACT Level,Test Scores,High School GPA,High School Class Rank,Completion of College Preparatory Program,Recommendations,Demonstration of Competencies,AP Credit,Dual Credit,Credit for Life Experiences
10,Albany College of Pharmacy and Health Sciences,New York,Albany,False,True,3.6790000000000003,0.547,71.1,570,580,1150,640,690,1330,1240,81,71,59,46,46,N/A,N/A,23,N/A,N/A,29,26,81,71,59,46,46,87.4,0.45,1330,1240,1150,1060,29,26,23,20,Required,Required,Recommended,Recommended,Required,Neither required nor recommended,Yes,Yes,No
11,Albany State University,Georgia,Albany,False,True,3.068,0.42,65.7,380,360,740,460,430,890,820,77,66,53,40,40,12,14,14,17,17,18,16,77,66,53,40,40,62.108,0.5760000000000001,890,815,740,665,18,16,14,12,Considered but not required,Neither required nor recommended,Neither required nor recommended,Required,Neither required nor recommended,Neither required nor recommended,Yes,Yes,No
12,Albany Technical College,Georgia,Albany,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.108,0.5760000000000001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13,Albertus Magnus College,Connecticut,New Haven,False,True,2.878,0.398,83.5,430,420,850,560,530,1090,970,89,83,74,63,63,13,14,15,22,23,23,19,89,83,74,63,63,70.939,0.459,1090,970,850,730,23,19,15,11,Considered but not required,Required,Considered but not required,Considered but not required,Required,Considered but not required,Yes,Yes,Yes
14,Albion College,Michigan,Albion,False,True,3.476,0.427,68.8,500,490,990,610,590,1200,1100,79,69,57,44,44,20,19,21,27,26,27,24,79,69,57,44,44,71.276,0.562,1200,1095,990,885,27,24,21,18,Required,Required,Neither required nor recommended,Recommended,Recommended,Neither required nor recommended,Yes,Yes,No
15,Alcorn State University,Mississippi,Alcorn State,False,True,3.103,0.424,58.2,410,390,800,510,460,970,890,70,58,45,32,32,17,17,16,25,24,24,20,70,58,45,32,32,54.977,0.551,970,885,800,715,24,20,16,12,Required,Required,Recommended,Neither required nor recommended,Considered but not required,Neither required nor recommended,Yes,Yes,No
16,Alfred University,New York,Alfred,False,True,3.2439999999999998,0.41400000000000003,62.5,470,470,940,590,590,1180,1060,74,62,49,36,36,16,18,19,24,26,26,22,75,62,51,40,40,70.111,0.5680000000000001,1180,1060,940,820,26,22,19,16,Required,Required,Recommended,Recommended,Required,Required,Yes,Yes,No
17,Alice Lloyd College,Kentucky,Pippa Passes,False,True,3.191,0.545,26.6,420,440,860,540,520,1060,960,39,27,18,11,11,18,16,18,23,22,22,20,39,27,18,11,11,63.013525646363206,13.594146204718276,1060,960,860,760,22,20,18,16,Required,Required,Recommended,Recommended,Recommended,Neither required nor recommended,Yes,Yes,No
18,Allan Hancock College,California,Santa Maria,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63.013525646363206,13.594146204718276,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19,Allegany College of Maryland,Maryland,Cumberland,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63.013525646363206,13.594146204718276,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20,Allegheny College,Pennsylvania,Meadville,False,True,3.6310000000000002,0.5750000000000001,62.2,590,580,1170,680,680,1360,1270,74,62,49,36,36,23,23,24,31,28,30,27,74,62,49,36,36,81.32,0.441,1360,1265,1170,1075,30,27,24,21,Considered but not required,Required,Considered but not required,Required,Required,Neither required nor recommended,Yes,Yes,No
21,Allegheny Wesleyan College,Ohio,Salem,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.32,0.441,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
22,Allen County Community College,Kansas,Iola,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.32,0.441,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
23,Allen University,South Carolina,Columbia,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.32,0.441,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,Alma College,Michigan,Alma,False,True,3.509,0.542,62.4,520,510,1030,620,610,1230,1130,74,62,49,36,36,19,18,20,24,25,25,22,76,62,52,41,41,72.385,0.526,1230,1130,1030,930,25,22,20,18,Required,Required,Neither required nor recommended,Neither required nor recommended,Considered but not required,Neither required nor recommended,Yes,Yes,No
25,Alpena Community College,Michigan,Alpena,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72.385,0.526,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
26,Alvernia University,Pennsylvania,Reading,False,True,3.356,0.448,64.2,480,463,943,570,560,1130,1040,75,64,51,38,38,N/A,N/A,18,N/A,N/A,24,21,75,64,51,38,38,61.666,0.466,1130,1036,943,850,24,21,18,15,Required,Required,Recommended,Recommended,Recommended,Neither required nor recommended,Yes,Yes,Yes
27,Alvin Community College,Texas,Alvin,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.666,0.466,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
28,Amarillo College,Texas,Amarillo,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.666,0.466,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29,American Academy McAllister Institute of Funeral Service,New York,New York,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.666,0.466,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30,American Baptist College,Tennessee,Nashville,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.666,0.466,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31,American Public University System,West Virginia,Charles Town,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.666,0.466,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32,American River College,California,Sacramento,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.666,0.466,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33,American Sentinel University,Colorado,Aurora,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.666,0.466,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34,American University,District Of Columbia,Washington,False,True,3.638,0.499,36.1,620,590,1210,700,690,1390,1300,49,36,25,16,16,27,24,27,34,28,31,29,49,36,25,16,16,84.07,0.547,1390,1300,1210,1120,31,29,27,25,Considered but not required,Required,Neither required nor recommended,Required,Required,Recommended,Yes,Yes,No
35,Amherst College,Massachusetts,Amherst,False,True,3.892,0.562,11.3,650,660,1310,740,780,1520,1420,17,11,7,4,4,31,27,30,35,34,34,32,17,11,7,4,4,92.353,0.47400000000000003,1520,1415,1310,1205,34,32,30,28,Required,Recommended,Recommended,Recommended,Required,Recommended,No,No,No
36,Amridge University,Alabama,Montgomery,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,92.353,0.47400000000000003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37,Ancilla College,Indiana,Donaldson,True,False,N/A,N/A,66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,92.353,0.47400000000000003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
38,Anderson University,Indiana,Anderson,False,True,3.343,0.453,62.7,500,500,1000,580,580,1160,1080,74,63,50,37,37,20,18,20,25,25,25,22,76,63,53,42,42,69.247,0.41300000000000003,1160,1080,1000,920,25,22,20,18,Required,Required,Considered but not required,Neither required nor recommended,Considered but not required,Neither required nor recommended,Yes,Yes,No
39,Anderson University,South Carolina,Anderson,False,True,3.539,0.52,68.7,450,410,860,620,590,1210,1040,79,69,57,44,44,20,18,20,27,25,26,23,79,69,57,44,44,77.947,0.579,1210,1035,860,685,26,23,20,17,Required,Required,Recommended,Recommended,Recommended,Neither required nor recommended,Yes,Yes,No
40,Andrew College,Georgia,Cuthbert,False,True,N/A,0.5650000000000001,41.4,420,390,810,510,490,1000,910,54,41,29,19,19,13,14,14,20,17,19,16,57,41,31,23,23,64.32654889319487,12.934211825924823,1000,905,810,715,19,16,14,12,Required,Required,Neither required nor recommended,Recommended,Neither required nor recommended,Neither required nor recommended,Yes,Yes,Yes
41,Andrews University,Michigan,Berrien Springs,False,True,3.508,0.588,67,550,510,1060,680,680,1360,1210,78,67,54,41,41,21,19,21,31,27,29,25,78,67,54,41,41,67.675,0.5730000000000001,1360,1210,1060,910,29,25,21,17,Required,Required,Recommended,Required,Required,Recommended,Yes,Yes,Yes
42,Angelina College,Texas,Lufkin,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67.675,0.5730000000000001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43,Angelo State University,Texas,San Angelo,False,True,3.121,0.644,76.6,470,460,930,570,550,1120,1030,85,77,66,54,54,15,17,17,23,23,23,20,85,77,66,54,54,63.859,0.5670000000000001,1120,1025,930,835,23,20,17,14,Required,Required,Required,Neither required nor recommended,Neither required nor recommended,Neither required nor recommended,Yes,Yes,No
44,Anne Arundel Community College,Maryland,Arnold,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63.859,0.5670000000000001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
45,Anoka Technical College,Minnesota,Anoka,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63.859,0.5670000000000001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
46,Anoka-Ramsey Community College,Minnesota,Coon Rapids,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63.859,0.5670000000000001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
47,Antelope Valley College,California,Lancaster,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63.859,0.5670000000000001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
48,Appalachian Bible College,West Virginia,Mount Hope,False,True,3.309,0.623,37.1,475,465,940,605,565,1170,1060,50,37,26,17,17,19,16,18,26,21,23,20,53,37,28,20,20,65.29256249611224,11.635565084713757,1170,1055,940,825,23,20,18,16,Required,Required,Recommended,Recommended,Required,Neither required nor recommended,Yes,Yes,Yes
49,Appalachian State University,North Carolina,Boone,False,True,3.8120000000000003,0.491,76.8,560,540,1100,640,630,1270,1190,85,77,66,54,54,21,21,22,28,26,28,25,85,77,66,54,54,75.265,0.442,1270,1185,1100,1015,28,25,22,19,Required,Required,Recommended,Required,Neither required nor recommended,Neither required nor recommended,Yes,Yes,Yes
50,Aquinas College,Michigan,Grand Rapids,False,True,3.41,0.581,69.3,510,490,1000,610,600,1210,1110,79,69,57,44,44,20,19,20,27,27,26,23,79,69,57,44,44,68.44,0.434,1210,1105,1000,895,26,23,20,17,Required,Required,Recommended,Required,Considered but not required,Neither required nor recommended,Yes,Yes,Yes
51,Arapahoe Community College,Colorado,Littleton,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.44,0.434,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
52,Arcadia University,Pennsylvania,Glenside,False,True,3.565,0.526,65.7,520,510,1030,640,620,1260,1150,77,66,53,40,40,21,19,21,28,27,28,24,78,66,55,44,44,74.714,0.5630000000000001,1260,1145,1030,915,28,24,21,18,Required,Recommended,Recommended,Required,Required,Required,Yes,Yes,No
53,Arizona Christian University,Arizona,Phoenix,False,True,3.006,0.6000000000000001,67.9,450,440,890,550,530,1080,990,78,68,56,42,42,14,16,15,20,20,21,18,78,68,56,42,42,62.699286849797105,13.69378869680629,1080,985,890,795,21,18,15,12,Required,Required,Neither required nor recommended,Neither required nor recommended,Neither required nor recommended,Neither required nor recommended,Yes,Yes,Yes
54,Arizona Western College,Arizona,Yuma,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.699286849797105,13.69378869680629,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
55,Arkansas Baptist College,Arkansas,Little Rock,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.699286849797105,13.69378869680629,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
56,Arkansas Northeastern College,Arkansas,Blytheville,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.699286849797105,13.69378869680629,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
57,Arkansas State University-Beebe,Arkansas,Beebe,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.699286849797105,13.69378869680629,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
58,Arkansas State University-Mountain Home,Arkansas,Mountain Home,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.699286849797105,13.69378869680629,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
59,Arkansas State University-Newport,Arkansas,Newport,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.699286849797105,13.69378869680629,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
60,Art Academy of Cincinnati,Ohio,Cincinnati,False,True,3.096,0.554,26.5,440,440,880,560,510,1070,980,39,27,18,11,11,15,16,12,23,22,24,18,39,27,18,11,11,62.29772441423893,13.435626683884282,1070,975,880,785,24,18,12,6,Considered but not required,Required,Neither required nor recommended,Neither required nor recommended,Neither required nor recommended,Required,Yes,Yes,Yes
61,Asbury University,Kentucky,Wilmore,False,True,3.5789999999999997,0.492,64.4,540,510,1050,670,660,1330,1190,75,64,51,38,38,20,19,21,29,26,28,24,77,64,53,42,42,73.793,0.5660000000000001,1330,1190,1050,910,28,24,21,18,Considered but not required,Required,Considered but not required,Considered but not required,Considered but not required,Considered but not required,Yes,Yes,No
62,Asheville-Buncombe Technical Community College,North Carolina,Asheville,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,73.793,0.5660000000000001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
63,Ashland Community and Technical College,Kentucky,Ashland,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,73.793,0.5660000000000001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
64,Ashland University,Ohio,Ashland,False,True,3.365,0.47400000000000003,71.2,500,500,1000,600,590,1190,1100,81,71,59,46,46,18,18,19,23,25,24,21,82,71,62,51,51,67.626,0.527,1190,1095,1000,905,24,21,19,17,Required,Required,Recommended,Recommended,Recommended,Neither required nor recommended,Yes,Yes,No
65,Asnuntuck Community College,Connecticut,Enfield,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67.626,0.527,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
66,Athens Technical College,Georgia,Athens,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67.626,0.527,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
67,Atlanta Technical College,Georgia,Atlanta,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67.626,0.527,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
